content,theme,sentiment,anls
收到了，太实惠了，买了一大箱，以后继续购买，送货速度快服务也好,NULL;送货速度;服务;,实惠;快;也好;,1;1;1;
热水器加热时间太长，安装费太贵，预留太阳能口摆设，根本用不到，没有水位指示器，加满热水的指示灯放在了最侧面，不方便用户看指示灯，必须斜着看才能看到，,加热时间;安装费;NULL;,太长;太贵;不方便;,-1;-1;-1;
真**差，我都无语了。眼瞎才买了,NULL;NULL;,差;无语;,-1;-1;
很满意，因为出差，还没有用，东西装上我看了，非常好,NULL;NULL;,满意;好;,1;1;
给奶奶买的，效果不错，厂家服务也好，给好评[追评],效果;服务;NULL;,不错;也好;好评;,1;1;1;
还没用，等用了再来追评吧,,,
这个中奖有用吗？且不说中奖，这个是我买了这么多一加3t钢化膜中最高清最好看的，没有之一。,,,
不错，家用刚刚好，制冷也不错,NULL;NULL;制冷;,不错;好;不错;,1;1;1;
电流声真心受不了！而且电脑开机的时候会有爆破声。。。,NULL;,受不了;,-1;
电视挺好，都挺满意,电视;NULL;,挺好;满意;,1;1;
不是特别好的购买体验 App说有货可以马上送货 结果4天收到,NULL;货;,好;可以;,1;1;
我买过这个价格最差的指甲油，没有之一。秒杀买的，没有多高的期望，但真的没想到会这么差！隔着盒子还没闻到，一打盒子，那一股油漆味道，全屋子都是！太味了，和批发市场3、5元的质量差不多。不建议购买。,NULL;NULL;质量;,高;差;差不多;,1;-1;0;
粉特别干，送的唇彩不能用，颜色很难看,NULL;颜色;,干;难看;,-1;-1;
垃圾线，用来连titan  pascal与pg348的，不停地黑屏闪屏，我换回原配的线一点问题都没有。,NULL;NULL;,垃圾;黑屏;,-1;-1;
表带带着痒，不知道怎么回事,表带;,痒;,-1;
物流太慢，一个星期多才到，不是很热，有点失望,NULL;,失望;,-1;
很满意，噪音控制很好，很安静，制冷效果不错，制热还没试。安装师傅很尽心，比格力的安装师傅服务好太多！,NULL;噪音控制;NULL;制冷效果;服务;,满意;很好;安静;不错;好;,1;1;1;1;1;
太小，一个胶囊都装不下。,,,
不是很满意，与原图有差异,NULL;,满意;,1;
服务太好了，漏水了，马上换新,,,
